TE,Saprobic_Hyphae,Parasitic_Spherules,Sph+1,Exp_Sph,Species
All genes,4.76,19.07,20.07,4.326968712,C.immitis
All genes,31.97,83.4,84.4,6.399171094,C.immitis
All genes,484.12,36.98,37.98,5.247168,C.immitis
All genes,38.61,31.3,32.3,5.01346226,C.immitis
All genes,44.37,87.83,88.83,6.472975086,C.immitis
All genes,111.8,118.05,119.05,6.89542381,C.immitis
All genes,38.74,11.07,12.07,3.593353771,C.immitis
All genes,16.02,13.83,14.83,3.890446693,C.immitis
All genes,34.07,25.52,26.52,4.72900887,C.immitis
All genes,48.67,17.78,18.78,4.231125158,C.immitis
All genes,63.41,27.28,28.28,4.821710215,C.immitis
All genes,12.01,7.25,8.25,3.044394119,C.immitis
All genes,18.28,14.66,15.66,3.969012308,C.immitis
All genes,17.76,18.29,19.29,4.269781238,C.immitis
All genes,19.11,30.35,31.35,4.970393538,C.immitis
All genes,0,0,1,0,C.immitis
All genes,44.48,75,76,6.247927513,C.immitis
All genes,66.84,56.29,57.29,5.840211433,C.immitis
All genes,22.04,8.09,9.09,3.184280294,C.immitis
All genes,8.07,8.5,9.5,3.247927513,C.immitis
All genes,8.66,3.3,4.3,2.10433666,C.immitis
All genes,71.25,97.58,98.58,6.623223076,C.immitis
All genes,10.44,10.84,11.84,3.565597176,C.immitis
All genes,97.31,279.87,280.87,8.133758727,C.immitis
All genes,14.84,10.82,11.82,3.56315813,C.immitis
All genes,560.45,350.06,351.06,8.455573814,C.immitis
All genes,22.81,11.56,12.56,3.650764559,C.immitis
All genes,83.84,37.91,38.91,5.282069075,C.immitis
All genes,2.96,12.57,13.57,3.762348816,C.immitis
All genes,13.47,13.22,14.22,3.82984956,C.immitis
All genes,35.7,58.49,59.49,5.894575273,C.immitis
All genes,3.33,16.16,17.16,4.100977648,C.immitis
All genes,6.7,5.92,6.92,2.790772038,C.immitis
All genes,17.23,15.19,16.19,4.017031081,C.immitis
All genes,28.62,20.1,21.1,4.399171094,C.immitis
All genes,52.34,28.9,29.9,4.902073579,C.immitis
All genes,66.44,60.81,61.81,5.94976836,C.immitis
All genes,32.09,72.17,73.17,6.193180354,C.immitis
All genes,95.7,32.79,33.79,5.078524445,C.immitis
All genes,4.89,15.21,16.21,4.018812186,C.immitis
All genes,4.45,4.86,5.86,2.550900665,C.immitis
All genes,25.34,17.87,18.87,4.238022518,C.immitis
All genes,0.83,2.77,3.77,1.914564523,C.immitis
All genes,48.48,40.47,41.47,5.373996142,C.immitis
All genes,28.03,0.68,1.68,0.748461233,C.immitis
All genes,1.78,2.5,3.5,1.807354922,C.immitis
All genes,57.5,48.62,49.62,5.63284983,C.immitis
All genes,1.21,0.09,1.09,0.124328135,C.immitis
All genes,3.94,2.23,3.23,1.691534165,C.immitis
All genes,18.41,8.64,9.64,3.269033146,C.immitis
All genes,184.38,156.36,157.36,7.297925053,C.immitis
All genes,51.06,10.32,11.32,3.500802053,C.immitis
All genes,26.68,35.53,36.53,5.191009849,C.immitis
All genes,36.91,38.3,39.3,5.296457407,C.immitis
All genes,71.78,52.35,53.35,5.737416366,C.immitis
All genes,15.89,18.44,19.44,4.280956314,C.immitis
All genes,488.16,263.11,264.11,8.044995117,C.immitis
All genes,3.14,4.46,5.46,2.448900951,C.immitis
All genes,17.9,5.85,6.85,2.776103988,C.immitis
All genes,93.74,82.76,83.76,6.388189537,C.immitis
All genes,24.23,10.55,11.55,3.529820947,C.immitis
All genes,1.38,0.83,1.83,0.871843649,C.immitis
All genes,36.91,62.89,63.89,5.997518235,C.immitis
All genes,92.07,119.9,120.9,6.917670434,C.immitis
All genes,191.35,145.56,146.56,7.195347598,C.immitis
All genes,33.59,25.25,26.25,4.714245518,C.immitis
All genes,5.67,7.06,8.06,3.010779839,C.immitis
All genes,4.65,6.23,7.23,2.853995647,C.immitis
All genes,0,0,1,0,C.immitis
All genes,6.68,13.39,14.39,3.846994687,C.immitis
All genes,89.59,65.06,66.06,6.045705065,C.immitis
All genes,26.41,35.02,36.02,5.170726276,C.immitis
All genes,96.32,90.05,91.05,6.508587112,C.immitis
All genes,19.74,13.07,14.07,3.814550423,C.immitis
All genes,74.12,128.42,129.42,7.015916772,C.immitis
All genes,6.02,21.48,22.48,4.49057013,C.immitis
All genes,123.79,127.2,128.2,7.002252452,C.immitis
All genes,33.39,37.42,38.42,5.263785614,C.immitis
All genes,95.98,75.56,76.56,6.258518925,C.immitis
All genes,79.72,67.79,68.79,6.104126951,C.immitis
All genes,6.9,16.86,17.86,4.158660175,C.immitis
All genes,3.68,3.43,4.43,2.147306699,C.immitis
All genes,271.65,110.65,111.65,6.802839441,C.immitis
All genes,6.74,23.23,24.23,4.5987225,C.immitis
All genes,24.89,70.25,71.25,6.154818109,C.immitis
All genes,15.43,6.28,7.28,2.86393845,C.immitis
All genes,3.98,4.07,5.07,2.341985747,C.immitis
All genes,1.62,3.32,4.32,2.111031312,C.immitis
All genes,10.53,28.94,29.94,4.904002316,C.immitis
All genes,7.27,5.31,6.31,2.657640005,C.immitis
All genes,1.89,6.6,7.6,2.925999419,C.immitis
All genes,2.97,16.08,17.08,4.09423607,C.immitis
All genes,113.36,242.82,243.82,7.929672662,C.immitis
All genes,96.64,45.34,46.34,5.534186139,C.immitis
All genes,0.99,2.51,3.51,1.811471031,C.immitis
All genes,1.11,2.09,3.09,1.627606838,C.immitis
All genes,3.32,6.03,7.03,2.813524689,C.immitis
All genes,68.97,44.41,45.41,5.504938132,C.immitis
All genes,88.09,94.07,95.07,6.570918255,C.immitis
All genes,17.7,20.83,21.83,4.448240225,C.immitis
All genes,10.93,21.52,22.52,4.493134922,C.immitis
All genes,4.51,15.07,16.07,4.006298024,C.immitis
All genes,62.1,96.83,97.83,6.612205037,C.immitis
All genes,92.98,116.07,117.07,6.871227612,C.immitis
All genes,94.42,71.94,72.94,6.188638295,C.immitis
All genes,53.39,74.92,75.92,6.246408087,C.immitis
All genes,2.96,2.35,3.35,1.744161096,C.immitis
All genes,1213.69,1193.7,1194.7,10.22243267,C.immitis
All genes,42.46,34.94,35.94,5.167518504,C.immitis
All genes,137.66,45.03,46.03,5.524502537,C.immitis
All genes,10.44,16.75,17.75,4.14974712,C.immitis
All genes,3.53,6.27,7.27,2.861955364,C.immitis
All genes,3.08,6.09,7.09,2.825785627,C.immitis
All genes,9.55,1.05,2.05,1.03562391,C.immitis
All genes,18.59,30.51,31.51,4.977737849,C.immitis
All genes,0.62,1.17,2.17,1.117695043,C.immitis
All genes,13.72,24.62,25.62,4.679198571,C.immitis
All genes,4.54,14.19,15.19,3.925049965,C.immitis
All genes,8.84,14.52,15.52,3.956056652,C.immitis
All genes,28.82,27.52,28.52,4.833902077,C.immitis
All genes,277.72,137.47,138.47,7.113429635,C.immitis
All genes,202.76,205.04,206.04,7.686780635,C.immitis
All genes,8.56,6.03,7.03,2.813524689,C.immitis
All genes,64.62,46.6,47.6,5.572889668,C.immitis
All genes,10.76,6.48,7.48,2.90303827,C.immitis
All genes,6.89,8.69,9.69,3.276496666,C.immitis
All genes,15.16,12.62,13.62,3.767654798,C.immitis
All genes,48.77,97.57,98.57,6.623076721,C.immitis
All genes,22.12,42.49,43.49,5.442611804,C.immitis
All genes,9.77,7.7,8.7,3.121015401,C.immitis
All genes,272.74,224.06,225.06,7.814165859,C.immitis
All genes,60.68,15.8,16.8,4.070389328,C.immitis
All genes,89.11,91.64,92.64,6.533563348,C.immitis
All genes,7.3,3.18,4.18,2.063502942,C.immitis
All genes,0.32,1.18,2.18,1.124328135,C.immitis
All genes,1.28,1.86,2.86,1.516015147,C.immitis
All genes,28.17,12.81,13.81,3.787641414,C.immitis
All genes,272.95,14.09,15.09,3.915520901,C.immitis
All genes,3.24,0.96,1.96,0.970853654,C.immitis
All genes,14.25,15.22,16.22,4.019701914,C.immitis
All genes,3.6,3.26,4.26,2.09085343,C.immitis
All genes,198.8,155.52,156.52,7.290203205,C.immitis
All genes,43.16,10.27,11.27,3.49441561,C.immitis
All genes,128.59,117.98,118.98,6.894575273,C.immitis
All genes,41.76,32.27,33.27,5.056149961,C.immitis
All genes,4.43,5.2,6.2,2.632268215,C.immitis
All genes,5.83,17.84,18.84,4.23572706,C.immitis
All genes,66.85,32.69,33.69,5.074248523,C.immitis
All genes,30.1,16.16,17.16,4.100977648,C.immitis
All genes,205.93,193.31,194.31,7.60221634,C.immitis
All genes,25.45,28.5,29.5,4.882643049,C.immitis
All genes,45.36,46.38,47.38,5.566206293,C.immitis
All genes,178.03,82.93,83.93,6.391114676,C.immitis
All genes,5,5.03,6.03,2.592158002,C.immitis
All genes,4.3,20.3,21.3,4.412781525,C.immitis
All genes,13.67,11.64,12.64,3.659924558,C.immitis
All genes,33.92,48.85,49.85,5.6395216,C.immitis
All genes,211.78,43.87,44.87,5.487679279,C.immitis
All genes,22.94,27.46,28.46,4.830863757,C.immitis
All genes,34.74,3.31,4.31,2.107687869,C.immitis
All genes,163.26,79.89,80.89,6.337889456,C.immitis
All genes,2.55,2.9,3.9,1.963474124,C.immitis
All genes,31.37,28.03,29.03,4.859472667,C.immitis
All genes,7.89,14.21,15.21,3.926948248,C.immitis
All genes,54.19,72.14,73.14,6.192588722,C.immitis
All genes,0.21,0.23,1.23,0.298658316,C.immitis
All genes,5.77,2.24,3.24,1.695993813,C.immitis
All genes,15.74,11.4,12.4,3.632268215,C.immitis
All genes,232.93,201.06,202.06,7.658639942,C.immitis
All genes,96.79,245.61,246.61,7.946087492,C.immitis
All genes,24.79,25,26,4.700439718,C.immitis
All genes,1.31,1.77,2.77,1.469885976,C.immitis
All genes,14.19,16.87,17.87,4.159467729,C.immitis
All genes,21.36,32.6,33.6,5.070389328,C.immitis
All genes,165.58,172.14,173.14,7.435795254,C.immitis
All genes,123.6,69.11,70.11,6.13154833,C.immitis
All genes,82.48,26.41,27.41,4.776630423,C.immitis
All genes,95.35,57.13,58.13,5.861211003,C.immitis
All genes,86.39,124.25,125.25,6.968666793,C.immitis
All genes,26.59,39.81,40.81,5.350850805,C.immitis
All genes,20.75,73.63,74.63,6.221683781,C.immitis
All genes,44.42,63.65,64.65,6.014578465,C.immitis
All genes,4.41,16.29,17.29,4.111865964,C.immitis
All genes,3.33,6.62,7.62,2.929790998,C.immitis
