"Scaffold","ChrStart","ChrEnd","TE_name_instance","RepeatMasker Score","Strand","Hyphae Expression","Spherule Expression","Hyphae Expression (FPKM)","Spherule Expression (FPKM)","Feature Length (bp)"
"GG704911.1",7148611,7148712,"SC_4_3067257_3077826_LTR/Gypsy.4",25.5,"-",157,2357,35.8802421346282,635.806746680157,101
"GG704911.1",6649171,6649421,"SC_1_6649170_6649421_LTR/Gypsy.1",0,"+",863,2395,79.6797336351746,261.007166717347,250
"GG704916.1",2464606,2464756,"SC_5_3367237_3380922_DNA/TcMar.64",8.2,"-",1379,1233,212.202303365982,223.953957245991,150
"GG704915.1",228655,229877,"SC_5_740218_745388_DNA/TcMar.17",23.2,"+",2341,7116,44.2188347939247,158.654230407102,1222
"GG704914.1",3924297,3924444,"SC_3_902192_925079_DNA/TcMar.35",31.3,"-",137,790,21.5119767068266,146.418744909821,147
"GG704913.1",501507,501534,"SC_3_1567878_1576797_DNA/TcMar.21",3.6,"-",32,143,27.3566743522337,144.297629477231,27
"GG704914.1",2674960,2675724,"SC_3_2428262_2433573_LTR/Copia.11",6.4,"+",3291,3837,99.4286654497884,136.83127188712,764
"GG704911.1",7625018,7625088,"SC_1_732927_743506_LTR/Gypsy.4",12.7,"+",89,314,29.3473609234007,122.213316953843,70
"GG704912.1",3275261,3275461,"SC_1_1236652_1237537_DNA/TcMar.2",31.3,"+",585,888,67.5154174052392,120.967830921192,200
"GG704914.1",817281,817356,"SC_4_817280_817382_DNA/TcMar.1",0,"+",166,318,51.0885893527964,115.518829528346,75
"GG704916.1",3160519,3164341,"SC_6_3159903_3164341_LTR/Ngaro.7",0,"+",4442,15954,26.8265582626962,113.727587940179,3822
"GG704913.1",1668208,1668461,"SC_5_1428063_1436055_DNA/TcMar.46",27.9,"-",333,1034,30.380911450214,111.349158897298,253
"GG704916.1",804525,808346,"SC_6_804524_808962_LTR/Ngaro.21",0,"+",4241,15485,25.6193626509031,110.413225030395,3821
"GG704915.1",2432584,2436405,"SC_5_2432583_2437026_LTR/Ngaro.9",0,"+",4414,15185,26.6644345062688,108.274124771492,3821
"GG704911.1",365927,371204,"SC_1_365926_371204_LTR/Copia.1",0,"+",7856,20691,34.3630312571122,106.827068238949,5277
"GG704911.1",3233281,3233377,"SC_5_3367237_3380922_DNA/TcMar.19",8.4,"-",117,364,28.1314239188497,103.303984739381,96
"GG704913.1",2428263,2433573,"SC_3_2428262_2433573_LTR/Copia.9",0,"+",8094,19542,35.1840448422107,100.267782692096,5310
"GG704911.1",5533187,5535140,"SC_3_2428262_2433573_LTR/Copia.7",2.1,"+",3777,6848,44.6397576447523,95.5319035796538,1953
"GG704916.1",895835,895958,"SC_6_895834_895958_LTR/Gypsy.3",0,"+",360,429,67.5576409308209,95.025268192323,123
"GG704911.1",3233379,3233457,"SC_5_3367237_3380922_DNA/TcMar.20",16.5,"-",56,271,16.5718315787569,94.6589344526538,78
"GG704911.1",7624905,7625027,"SC_1_732927_743506_LTR/Gypsy.3",16.3,"-",148,417,28.0013500797965,93.1243270826634,122
"GG704913.1",1136713,1136906,"SC_1_732927_743506_LTR/Gypsy.5",18.6,"-",140,644,16.7435604034073,90.9108004402368,193
"GG704913.1",1692558,1692663,"SC_5_3367237_3380922_DNA/TcMar.36",0.9,"-",391,347,85.9536937906342,90.0382611103682,105
"GG704914.1",1189732,1195009,"SC_4_1189731_1195009_LTR/Copia.4",0,"+",7586,17077,33.1820207632959,88.168084883115,5277
"GG704914.1",2673520,2675010,"SC_1_365926_371204_LTR/Copia.6",7.6,"+",1381,4374,21.3936308005817,79.9796378936596,1490
"GG704911.1",4432149,4432319,"SC_1_4432223_4432427_DNA/CMC-EnSpm.1",11.9,"+",350,496,47.5221640861412,79.4913144368194,170
"GG704911.1",4432224,4432427,"SC_1_4432223_4432427_DNA/CMC-EnSpm.2",0,"+",426,585,48.4384957511379,78.5139363254975,203
"GG704915.1",2309262,2309318,"SC_3_4152567_4156718_DNA/TcMar.14",15.8,"+",188,159,77.4902226629119,77.35635905916,56
"GG704916.1",3159904,3160488,"SC_6_3159903_3164341_LTR/Ngaro.6",0,"+",433,1646,17.1140239646813,76.7898655190524,584
"GG704916.1",808377,808962,"SC_6_804524_808962_LTR/Ngaro.22",0,"+",430,1642,16.9663989972988,76.4723101457602,585
"GG704915.1",2436441,2437026,"SC_5_2432583_2437026_LTR/Ngaro.10",0,"+",458,1606,18.0711877692159,74.7956943325766,585
"GG704911.1",4882348,4883045,"SC_4_12928_14490_DNA/TcMar.2",8.3,"-",1725,1870,57.1259463753265,73.0963601479407,697
"GG704911.1",1050339,1052233,"SC_3_1432432_1434310_LTR/Copia.1",23.4,"-",3880,4853,47.2855927458421,69.8099360070856,1894
"GG704916.1",529176,529860,"SC_3_1567878_1576797_DNA/TcMar.41",33.6,"-",499,1734,16.8392029215846,69.0684825672209,684
"GG704915.1",3214317,3214354,"SC_5_3214318_3214446_LTR/Gypsy.1",12.8,"+",261,84,162.823044054215,61.8535293242034,37
"GG704915.1",230433,230658,"SC_5_740218_745388_DNA/TcMar.18",30.1,"+",244,508,25.0313570322938,61.5131712792448,225
"GG704913.1",1136908,1137191,"SC_1_732927_743506_LTR/Gypsy.6",18.3,"+",131,599,10.6846905017503,57.6669935391351,283
"GG704915.1",3380819,3380938,"SC_1_65866_71175_LTR/Copia.4",6.7,"-",204,251,39.569475402338,57.4663592270785,119
